Ensayo	Tamaño	Itera.	Tiempo	Estimación
1	100	100.0	0.0	3.0
2	200	200.0	0.0	3.24
3	300	300.0	0.0	3.1333333333333333
4	400	400.0	0.0	3.14
5	500	500.0	0.0	3.176
6	600	600.0	0.0	3.1666666666666665
7	700	700.0	0.0	3.2057142857142855
8	800	800.0	0.00054	3.1
9	900	900.0	0.0	3.128888888888889
10	1000	1000.0	0.003673	3.1
11	1100	1100.0	0.0	3.1963636363636363
12	1200	1200.0	0.0	3.1633333333333336
13	1300	1300.0	0.0	3.163076923076923
14	1400	1400.0	0.0	3.2
15	1500	1500.0	0.0	3.1946666666666665
16	1600	1600.0	0.0	3.1375
17	1700	1700.0	0.0	3.1694117647058824
18	1800	1800.0	0.006923	3.128888888888889
19	1900	1900.0	0.0	3.1242105263157893
20	2000	2000.0	0.0	3.138
21	2100	2100.0	0.007721	3.125714285714286
22	2200	2200.0	0.0	3.1363636363636362
23	2300	2300.0	0.0	3.1652173913043478
24	2400	2400.0	0.007106	3.1966666666666668
25	2500	2500.0	0.0	3.1344
26	2600	2600.0	0.0	3.1338461538461537
27	2700	2700.0	0.0	3.1214814814814815
28	2800	2800.0	0.008166	3.1157142857142857
29	2900	2900.0	0.0	3.115862068965517
30	3000	3000.0	0.0	3.16
31	3100	3100.0	0.008914	3.1651612903225805
32	3200	3200.0	0.0	3.17625
33	3300	3300.0	0.0	3.090909090909091
34	3400	3400.0	0.008837	3.1611764705882353
35	3500	3500.0	0.0	3.182857142857143
36	3600	3600.0	0.005936	3.131111111111111
37	3700	3700.0	0.002147	3.132972972972973
38	3800	3800.0	0.0	3.148421052631579
39	3900	3900.0	0.007834	3.1887179487179487
40	4000	4000.0	0.0	3.146
41	4100	4100.0	0.009494	3.1697560975609758
42	4200	4200.0	0.006693	3.1295238095238096
43	4300	4300.0	0.003512	3.12
44	4400	4400.0	0.0	3.129090909090909
45	4500	4500.0	0.006094	3.1315555555555554
46	4600	4600.0	0.0	3.1556521739130434
47	4700	4700.0	0.006962	3.1540425531914895
48	4800	4800.0	0.002324	3.1658333333333335
49	4900	4900.0	0.0	3.1387755102040815
50	5000	5000.0	0.006937	3.1648
51	5100	5100.0	0.0	3.1898039215686276
52	5200	5200.0	0.007571	3.1807692307692306
53	5300	5300.0	0.002968	3.131320754716981
54	5400	5400.0	0.0	3.137777777777778
55	5500	5500.0	0.007975	3.136
56	5600	5600.0	0.0	3.1407142857142856
57	5700	5700.0	0.0	3.1410526315789475
58	5800	5800.0	0.005726	3.1620689655172414
59	5900	5900.0	0.0	3.0996610169491525
60	6000	6000.0	0.007999	3.1893333333333334
61	6100	6100.0	0.0	3.121311475409836
62	6200	6200.0	0.0	3.1483870967741936
63	6300	6300.0	0.009067	3.1352380952380954
64	6400	6400.0	0.0	3.145625
65	6500	6500.0	0.00802	3.12
66	6600	6600.0	0.0	3.1715151515151514
67	6700	6700.0	0.009551	3.1492537313432836
68	6800	6800.0	0.0	3.1482352941176472
69	6900	6900.0	0.00646	3.12231884057971
70	7000	7000.0	0.0	3.1485714285714286
71	7100	7100.0	0.001121	3.116619718309859
72	7200	7200.0	0.008098	3.1555555555555554
73	7300	7300.0	0.0	3.1545205479452054
74	7400	7400.0	0.008583	3.1572972972972972
75	7500	7500.0	0.0	3.1845333333333334
76	7600	7600.0	0.002741	3.1526315789473682
77	7700	7700.0	0.0	3.1412987012987013
78	7800	7800.0	0.000956	3.1420512820512823
79	7900	7900.0	0.005274	3.112911392405063
80	8000	8000.0	0.006463	3.1485
81	8100	8100.0	0.0	3.1481481481481484
82	8200	8200.0	0.010853	3.1507317073170733
83	8300	8300.0	0.002947	3.1296385542168674
84	8400	8400.0	0.005497	3.1542857142857144
85	8500	8500.0	0.008437	3.1538823529411766
86	8600	8600.0	0.008032	3.1609302325581394
87	8700	8700.0	0.007898	3.1503448275862067
88	8800	8800.0	0.0	3.1595454545454547
89	8900	8900.0	0.008876	3.122247191011236
90	9000	9000.0	0.008748	3.1444444444444444
91	9100	9100.0	0.006847	3.147252747252747
92	9200	9200.0	0.009353	3.1478260869565218
93	9300	9300.0	0.007999	3.1144086021505375
94	9400	9400.0	0.007999	3.1348936170212767
95	9500	9500.0	0.008099	3.1650526315789476
96	9600	9600.0	0.007145	3.1491666666666664
97	9700	9700.0	0.007681	3.150103092783505
98	9800	9800.0	0.011029	3.130204081632653
99	9900	9900.0	0.006356	3.1361616161616164
100	10000	10000.0	0.006352	3.1592
